"","rep","real_sum","real_max","real_min","realC","realmean","mess_sum","mess_max","mess_min","messC","messMean","genNum","countryNum","refNum","ageNum","act2Count","act3Count","act4Count","act6Count","act7Count","act26Count","act27Count","activity","sessions","maxlevel","last","length"
"1",1,0,0,0,0,0,0,0,0,0,0,1,1,64.303761,57.764216,1.242465,0,1.409683,0,0,30.548702,1.518774,0.818875,17.744207,5,5649231.848613,5547590.526149
"2",1,0,0,0,0,0,0,0,0,0,0,2,3.053866,16.232253,54.957522,0,0,3.434708,0,0,2.697936,0,6.885287,71.179685,4.234055,5401668.366461,5478768.22405
"3",1,0,0,0,0,0,0,0,0,0,0,2,9.354717,33.856326,43.146312,0,0,0,0,0,0,4.03963,11.301729,44.356655,3.695521,6255397.900671,6448151.267062
"4",0,0,0,0,0,0,0,0,0,0,0,1,124,16,39,0,0,0,0,0,0,0,0,16,3,5472333,6363164
"5",1,0,0,0,0,0,0,0,0,0,0,2,14.760976,27.185843,58.262281,0,0,0,1.331641,0,0,0,1.084761,64,5.62801,5372498.967267,5477151.365821
"6",1,0,0,0,0,0,0,0,0,0,0,2,124,52.611056,41.373867,0,0,8.898092,0,0,13.657865,6.732522,34.600711,16,4.14688,5443592.901211,5469545.171674
"7",1,0,0,0,0,0,0,0,0,0,0,1.168714,99.849773,33.271952,34.642839,6.742332,0,1.519937,0,0,16.217838,3.042713,39.035072,50.209503,4.396424,5883121.426942,5497072.136034
"8",1,0,0,0,0,0,345107.693714,207156.651746,0,167.451508,228549.982978,1.048194,20.810876,3.299514,35.871376,28.349424,11.253751,15.639828,0,0,18.06861,4.572272,39.568686,32,8.531291,5922401.484913,6515236.446269
"9",1,0,0,0,0,0,0,0,0,0,0,2,123.205151,45.874795,42.7299,0,0,6.070882,0,0,16,3.815226,35.679731,95.696026,4,5397902.194118,5479411.912077
"10",0,0,0,0,0,0,0,0,0,0,0,1,106,76,14,0,0,0,0,0,0,0,0,16,2,5236527,5385981
"11",1,0,0,0,0,0,174305.853262,82613.632674,0,13.884434,14862.979051,1.310504,77.299968,34.900331,43.338392,0.271077,0,0,2.284634,0,6.335851,3.814868,20.840913,174.573706,8.840331,5194079.273801,5438564.122479
"12",1,0,0,0,0,0,93708.052204,7853.12564,0,21.725935,2750.566196,1.483298,124,33.671577,53.23797,10.241902,87.975073,19.298924,6.729447,0,2.729697,8.839576,179.972279,450.053042,4.091311,5775278.209271,6082499.028791
